POA_CODE_2021,POA_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
0837,0837,430.8861107096401,427.64676976441683,427.4055499349617,458.6346292816881,472.30755889579416,463.937129643012,477.00607024136434,486.4330105506576,499.0793467264055,508.717589247001,520.7200462494579,522.4304090186444,525.6398323457147
0838,0838,726.9084380610412,739.9228007181329,759.718132854578,829.2280071813285,872.5996409335727,875.3806104129264,890.4093357271095,900.7666068222621,912.9048473967684,924.262118491921,936.2908438061041,940.9622980251346,945.6337522441652
0839,0839,96.0,190.0,289.0,382.0,477.0,576.0,569.0,558.0,546.0,538.0,535.0,546.0,550.0
0840,0840,426.1942336874052,434.93323216995447,449.05007587253414,449.05007587253414,453.0834597875569,457.7890743550834,466.52807283763275,474.59484066767834,486.0227617602428,496.7784522003035,505.5174506828528,508.206373292868,506.86191198786037
0841,0841,728.0,714.0,703.0,745.0,760.0,735.0,724.0,706.0,691.0,677.0,662.0,664.0,668.0
0845,0845,410.1571194762684,436.39279869067104,464.74631751227497,481.3535188216039,503.27495908346975,522.1178396072013,503.6284779050736,484.9034369885434,468.4140752864157,453.96399345335516,435.3960720130933,436.4746317512275,438.43535188216043
0846,0846,341.4779050736497,348.1947626841244,355.27004909983634,353.07528641571196,355.8363338788871,356.3584288052373,353.911620294599,351.74795417348605,350.3011456628478,349.9738134206219,347.28805237315873,348.5270049099836,349.40752864157116
0847,0847,442.0,427.0,411.0,394.0,383.0,362.0,361.0,361.0,362.0,364.0,363.0,367.0,368.0
0850,0850,8658.0,8818.0,8938.0,8946.0,8916.0,8832.0,8827.0,8823.0,8825.0,8784.0,8717.0,8842.0,8855.0
0852,0852,9230.68056106921,9328.56826129644,9380.470830250224,9390.463182998881,9352.942501644842,9273.460234585498,9372.556732213063,9480.261014357522,9615.730272572298,9744.4696929999,9962.889062802196,10063.822854645832,10090.85750887465
0853,0853,850.0,877.0,904.0,918.0,925.0,929.0,933.0,940.0,947.0,946.0,943.0,952.0,942.0
0854,0854,1058.0,1050.0,1039.0,1025.0,1015.0,988.0,970.0,954.0,941.0,928.0,876.0,882.0,883.0
0860,0860,3513.0,3519.0,3498.0,3406.0,3342.0,3296.0,3304.0,3319.0,3373.0,3460.0,3492.0,3504.0,3511.0
0862,0862,876.1294672037699,878.3722125104507,883.096313749335,881.7854830128449,890.2360416508322,880.9909401839325,868.2992931519343,852.7805274758683,837.33398191077,823.8152162347039,813.2307212890477,815.7842973322186,818.3378733753896
0870,0870,22647.163090128754,22581.128755364807,22374.875536480686,21855.403433476396,21294.369098712446,21039.772532188843,21318.523605150214,21548.836909871243,21786.80686695279,22070.557939914164,22374.090128755364,22693.21459227468,22804.557939914164
0872,0872,17551.779748706576,17850.94327420547,18065.084072431633,17968.85162601626,17877.80709534368,17568.54933481153,17319.326496674057,17124.545084996305,16990.276792313376,16754.472653362896,16607.551367331856,16692.924611973394,16824.22967479675
0873,0873,2757.8369098712446,2739.8712446351933,2729.1244635193134,2691.596566523605,2675.6309012875536,2609.227467811159,2691.4763948497853,2779.1630901287554,2862.1931330472103,2941.442060085837,3033.9098712446353,3082.785407725322,3120.4420600858366
0874,0874,531.0,547.0,553.0,569.0,578.0,592.0,594.0,597.0,596.0,604.0,602.0,613.0,718.0
0875,0875,2872.0,2802.0,2779.0,2668.0,2580.0,2547.0,2551.0,2562.0,2618.0,2674.0,2736.0,2734.0,2834.0
0880,0880,6818.461538461539,6883.076923076923,6954.692307692308,6677.307692307692,5782.923076923077,5724.538461538462,5641.692307692308,5593.538461538462,5565.692307692308,5537.538461538462,5507.692307692308,5580.692307692308,5676.692307692308
0885,0885,1126.0,1099.0,1068.0,1035.0,1008.0,976.0,939.0,911.0,890.0,868.0,854.0,857.0,914.0
0886,0886,1286.0,1270.0,1263.0,1214.0,1186.0,1150.0,1087.0,1021.0,957.0,900.0,835.0,834.0,848.0
2000,2000,25025.310447761192,25767.4776119403,26714.417910447763,27796.453731343285,28756.62089552239,29640.859701492536,30325.074626865673,30504.859701492536,30673.88358208955,30561.70447761194,28494.08358208955,29266.04776119403,31391.250746268655
2007,2007,7681.0,8041.0,8261.0,8630.0,9047.0,9434.0,9462.0,9276.0,8912.0,8478.0,7540.0,7818.0,9316.0
2008,2008,6768.0,7693.0,8817.0,10023.0,11335.0,12396.0,12609.0,12397.0,12186.0,11867.0,10614.0,10907.0,12194.0
2009,2009,12558.0,12782.0,13155.0,13366.0,13451.0,13678.0,14083.0,14028.0,13926.0,13785.0,12785.0,12977.0,13735.0
2010,2010,27709.0,28212.0,28743.0,29162.0,29554.0,29988.0,30077.0,29662.0,29250.0,28703.0,26836.0,26587.0,27905.0
2011,2011,19607.689552238804,20242.5223880597,20758.582089552237,21415.546268656715,22050.37910447761,22768.140298507464,22981.925373134327,22494.140298507464,22050.11641791045,20726.29552238806,18440.91641791045,18262.95223880597,19071.749253731345
2015,2015,9111.75,9266.55,9498.05,9886.1,10251.75,10559.45,10927.25,11478.6,11859.5,12170.699999999999,11556.0,11811.85,12239.45
2016,2016,13014.0,13176.0,13232.0,13491.0,13847.0,13968.0,14231.0,14467.0,14344.0,14098.0,13244.0,13494.0,14354.0
2017,2017,15481.0,16970.0,18462.0,20738.0,23873.0,26259.0,27613.0,28290.0,29051.0,29684.0,29476.0,30382.0,31819.0
2018,2018,16352.0,16409.0,16488.0,16696.0,17176.0,17963.0,18792.0,19307.0,19986.0,20293.0,19999.0,20374.0,20896.0
2019,2019,9304.0,9536.0,9793.0,10183.0,10645.0,11302.0,11650.0,12211.0,12685.0,13203.0,13552.0,13849.0,14149.0
2020,2020,10777.0,11277.0,11925.0,12868.0,13991.0,15503.0,16882.0,18151.0,19455.0,20765.0,21866.0,22809.0,23059.0
2021,2021,15611.556621880998,15828.681381957773,16000.658349328214,16165.79462571977,16328.77159309021,16445.771593090212,16420.499040307102,16219.817658349328,16101.385796545106,15810.090211132438,15079.852207293667,14973.431861804223,15430.829174664108
2022,2022,12408.0,12593.0,12893.0,13086.0,13272.0,13412.0,13605.0,13710.0,13821.0,13885.0,13609.0,13635.0,14048.0
2023,2023,11394.235387731482,11408.056568287036,11394.351851851852,11378.597366898148,11355.586805555555,11391.9296875,11411.220775462964,11333.821903935186,11205.779658564816,11022.464409722223,10658.78833912037,10620.175636574075,10923.46238425926
2024,2024,11850.731927049,11876.516772870431,11802.561195341683,11828.134146341463,11820.902658756317,11854.309236065334,11940.84593129715,11941.093642422911,11886.028418662565,11846.804768182817,11504.414524280377,11418.256317292902,11736.101699260236
2025,2025,7361.961381997365,7400.184345098264,7475.35013321492,7576.9887268664415,7658.503924826678,7722.221509196127,7761.179016501461,7783.502320517962,7783.642776313528,7557.074127657136,7216.8031427261785,7204.676695983499,7373.826197501862
2026,2026,33418.82549592019,33750.12188259175,34198.55645171714,34577.543724806994,34907.37465216805,35316.567514634946,35501.392163940945,35490.505797353,35331.81191747189,34803.794671593096,33192.46502754035,33278.822114079645,34436.69942118794
