LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023p
14500,Ku-ring-gai,1,New South Wales,114628.9972027972,116346.58321678321,118203.96503496503,119859.34405594405,121323.34685314685,122480.83076923077,124122.6937062937,125528.31468531469,126364.72867132867,126438.0027972028,124703.24195804195,124220.13706293706,127010.72587412587
14550,Kyogle,1,New South Wales,9525.207750997533,9442.844291926955,9370.450736470324,9314.073377979757,9224.277959048564,9141.682123330447,9171.03931266031,9209.730163078484,9249.068805716308,9304.906624074825,9345.984769992647,9401.31513070249,9394.355540771252
14600,Lachlan,1,New South Wales,6818.923255179934,6769.62786259542,6701.012404580153,6644.788440567067,6561.764790076336,6465.435046346783,6403.81877044711,6340.568565976008,6272.952290076336,6223.188113413304,6153.020787895311,6114.977508178844,6098.168893129771
14650,Lake Macquarie,1,New South Wales,196790.749850389,197688.9443945741,198949.00947536406,200245.61111111112,201236.85213445043,202328.58348294435,204510.87028725314,206973.02782764813,209431.61131059245,211952.53725314184,214052.2315978456,216589.2405745063,219229.01795332137
14700,Lane Cove,1,New South Wales,33234.0,33728.0,34261.0,35196.0,36402.0,37694.0,38615.0,39239.0,39790.0,40067.0,39608.0,40086.0,41547.0
14750,Leeton,1,New South Wales,11407.565934065935,11427.093406593407,11410.148351648351,11404.939560439561,11407.835164835165,11403.362637362638,11443.417582417582,11464.945054945056,11494.472527472528,11505.631868131868,11485.15934065934,11465.318681318682,11456.318681318682
14850,Lismore,1,New South Wales,44368.738398431466,44402.38423586964,44425.31821003092,44344.419122933155,44228.42988487142,44136.12049595642,44137.68900791414,44198.311306552874,44235.651476328436,44316.52714301778,44361.53362755551,44266.724921070585,43901.98619304542
14870,Lithgow,1,New South Wales,20848.152357678977,20997.439642919482,21114.548362965365,21279.789167892675,21397.089320000996,21481.317781712092,21417.636311497892,21342.400493728648,21215.252649427723,21061.626062888063,20853.643916913945,20817.258683888987,20740.882377876966
14900,Liverpool,1,New South Wales,188079.07828320592,191824.98757229245,196147.39780564726,200749.37280273857,206228.663287803,212006.29246555583,217466.73587477664,222411.72454107428,227189.40312608887,231271.32132303063,234507.0368739216,239700.34686725738,247450.1256962985
14920,Liverpool Plains,1,New South Wales,7761.0,7785.0,7811.0,7830.0,7836.0,7846.0,7829.0,7806.0,7780.0,7702.0,7608.0,7659.0,7667.0
14950,Lockhart,1,New South Wales,3090.109090909091,3082.0363636363636,3093.745454545455,3114.672727272727,3118.6363636363635,3170.6,3207.672727272727,3217.672727272727,3265.7090909090907,3307.7454545454543,3327.8545454545456,3335.072727272727,3324.2181818181816
15050,Maitland,1,New South Wales,69898.96275544765,71992.40326570635,73849.41774861544,75673.84092161231,77352.52419118426,79042.50604563308,81062.83754308223,83262.81610344556,85314.85585137893,87924.88487397108,90616.14516581461,93662.26024030549,96022.94310735182
